[0.000000] (-) TimerEvent: {}
[0.000782] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000818] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000828] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000836] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000843] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000849] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000856] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000862] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000869] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000875] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000881] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000888] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000894] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000900] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000907] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000913] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000919] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000926] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000932] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000939] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000945] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000951] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000957] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000964] (-) JobUnselected: {'identifier': 'sutd_ws'}
[0.000970] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000977] (-) EventReactorShutdown: {}
